itemid,item,item_en,vocabulary_id,vocabulary_concept_code,vocabulary_concept_name,abbreviation,categoryid,category,category_en,ordercategoryid,ordercategory,islabresult,valueid,value,unitid,unit,ucum_code,low_normal_value,high_normal_value,expected_min_value,expected_max_value,table,count,count_validated
6640,Hartfrequentie,heart rate,LOINC,76282-3,Heart rate.beat-to-beat by EKG,HF,320,HD-Hartritme,hemodynamics-heart rhythm,NA,NA,0,NA,NA,15,/min,/min,80,120,1,250,numericitems,37732398,2218626
6641,ABP systolisch,invasive systolic arterial pressure,LOINC,76215-3,Invasive Systolic blood pressure,ABPs,323,HD-Bloeddrukken,hemodynamics-blood pressures,NA,NA,0,NA,NA,173,mmHg,mm[Hg],80,160,40,250,numericitems,33343613,2109758
6643,ABP diastolisch,invasive diastolic arterial pressure,LOINC,76213-8,Invasive Diastolic blood pressure,ABPd,323,HD-Bloeddrukken,hemodynamics-blood pressures,NA,NA,0,NA,NA,173,mmHg,mm[Hg],40,100,20,150,numericitems,33343274,2109346
6642,ABP gemiddeld,invasive mean arterial pressure,LOINC,76214-6,Invasive Mean blood pressure,ABPm,323,HD-Bloeddrukken,hemodynamics-blood pressures,NA,NA,0,NA,NA,173,mmHg,mm[Hg],50,120,30,250,numericitems,33352770,2109165
6709,Saturatie (Monitor),oxygen saturation SpO2,LOINC,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,Saturatie Monitor,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,0,None,NA,NA,NA,NA,NA,numericitems,36411768,2076750
8794,UrineCAD,urine output from indwelling urinary catheter (catheter à demeure),LOINC,9187-6,Urine output,UrineCAD,337,VB-Urine,NA,NA,NA,0,NA,NA,6,ml,mL,NA,NA,NA,NA,numericitems,1632547,1632547
12284,PEEP (Set),positive end expiratory pressure setting,LOINC,20077-4,Positive end expiratory pressure setting Ventilator,PEEP (Set),587,RESP-Servo Machinegegevens,NA,NA,NA,0,NA,NA,175,cmH2O,cm[H2O],NA,NA,NA,NA,numericitems,15646826,1282336
12282,O2 concentratie (Set),inspired oxygen concentration setting,LOINC,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,O2% (Set),587,RESP-Servo Machinegegevens,NA,NA,NA,0,NA,NA,191,Geen,NA,NA,NA,NA,NA,numericitems,15645752,1281165
12266,Ademfreq.,respiratory rate measurement,LOINC,19840-8,Breath rate spontaneous and mechanical --on ventilator,Ademfreq.,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,15,/min,/min,NA,NA,NA,NA,numericitems,15613362,1280470
12277,Insp. tidal volume,inspiratory tidal volume,LOINC,20109-5,Tidal volume inspired spontaneous+mechanical Measured --on ventilator,VTi,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,6,ml,mL,NA,NA,NA,NA,numericitems,15613545,1279315
12281,Piek druk,peak inspiratory airway pressure,LOINC,19976-0,Maximum [Pressure] Respiratory system airway opening --during inspiration on ventilator,P peak,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,175,cmH2O,cm[H2O],NA,NA,NA,NA,numericitems,15622631,1279253
12273,Exp. minuut volume,expiratory minute volume,LOINC,76008-2,Expired minute Volume during Mechanical ventilation,MVe,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,26,l/min,L/min,NA,NA,NA,NA,numericitems,15623732,1279091
12275,Exp. tidal volume,expiratory tidal volume,LOINC,20107-9,Tidal volume expired spontaneous+mechanical Respiratory system airway --on ventilator,VTe,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,6,ml,mL,NA,NA,NA,NA,numericitems,15621567,1279056
6694,Eind exp. druk,positive end expiratory pressure measurement,LOINC,76248-4,PEEP Respiratory system --on ventilator,PEEP,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,175,cmH2O,cm[H2O],NA,NA,NA,NA,numericitems,15624081,1278830
12276,Insp. Minuut volume,inspiratory minute volume,LOINC,76009-0,Inspired minute Volume during Mechanical ventilation,MVi,586,RESP-Servo Patiëntgegevens,NA,NA,NA,0,NA,NA,26,l/min,L/min,NA,NA,NA,NA,numericitems,15621645,1278657
